year,month,diff_temp
1880,1,-0.18
1880,2,-0.24
1880,3,-0.09
1880,4,-0.16
1880,5,-.10
1880,6,-.21
1880,7,-.18
1880,8,-.10
1880,9,-.14
1880,10,-.23
1880,11,-.22
1880,12,-.17
1881,1,-0.2
1881,2,-0.14
1881,3,0.03
1881,4,0.05
1881,5,.06
1881,6,-.19
1881,7,.00
1881,8,-.04
1881,9,-.15
1881,10,-.22
1881,11,-.19
1881,12,-.07
1882,1,0.16
1882,2,0.14
1882,3,0.05
1882,4,-0.17
1882,5,-.15
1882,6,-.24
1882,7,-.17
1882,8,-.08
1882,9,-.14
1882,10,-.24
1882,11,-.16
1882,12,-.36
1883,1,-0.29
1883,2,-0.37
1883,3,-0.12
1883,4,-0.18
1883,5,-.18
1883,6,-.08
1883,7,-.07
1883,8,-.14
1883,9,-.21
1883,10,-.11
1883,11,-.23
1883,12,-.11
1884,1,-0.13
1884,2,-0.07
1884,3,-0.36
1884,4,-0.4
1884,5,-.34
1884,6,-.36
1884,7,-.30
1884,8,-.28
1884,9,-.27
1884,10,-.25
1884,11,-.34
1884,12,-.31
1885,1,-0.59
1885,2,-0.34
1885,3,-0.27
1885,4,-0.42
1885,5,-.46
1885,6,-.44
1885,7,-.34
1885,8,-.32
1885,9,-.28
1885,10,-.24
1885,11,-.24
1885,12,-.10
1886,1,-0.44
1886,2,-0.51
1886,3,-0.43
1886,4,-0.28
1886,5,-.24
1886,6,-.35
1886,7,-.18
1886,8,-.31
1886,9,-.24
1886,10,-.28
1886,11,-.28
1886,12,-.25
1887,1,-0.72
1887,2,-0.57
1887,3,-0.36
1887,4,-0.35
1887,5,-.31
1887,6,-.25
1887,7,-.26
1887,8,-.36
1887,9,-.26
1887,10,-.36
1887,11,-.26
1887,12,-.33
1888,1,-0.34
1888,2,-0.36
1888,3,-0.41
1888,4,-0.2
1888,5,-.22
1888,6,-.17
1888,7,-.10
1888,8,-.16
1888,9,-.12
1888,10,.02
1888,11,.03
1888,12,-.04
1889,1,-0.09
1889,2,0.16
1889,3,0.06
1889,4,0.09
1889,5,-.01
1889,6,-.10
1889,7,-.08
1889,8,-.20
1889,9,-.24
1889,10,-.25
1889,11,-.34
1889,12,-.29
1890,1,-0.42
1890,2,-0.45
1890,3,-0.4
1890,4,-0.3
1890,5,-.39
1890,6,-.25
1890,7,-.28
1890,8,-.39
1890,9,-.36
1890,10,-.25
1890,11,-.43
1890,12,-.32
1891,1,-0.33
1891,2,-0.46
1891,3,-0.18
1891,4,-0.27
1891,5,-.17
1891,6,-.21
1891,7,-.18
1891,8,-.17
1891,9,-.15
1891,10,-.22
1891,11,-.31
1891,12,-.04
1892,1,-0.29
1892,2,-0.11
1892,3,-0.4
1892,4,-0.34
1892,5,-.24
1892,6,-.22
1892,7,-.32
1892,8,-.28
1892,9,-.17
1892,10,-.14
1892,11,-.42
1892,12,-.38
1893,1,-0.8
1893,2,-0.56
1893,3,-0.22
1893,4,-0.27
1893,5,-.34
1893,6,-.25
1893,7,-.14
1893,8,-.26
1893,9,-.22
1893,10,-.18
1893,11,-.19
1893,12,-.32
1894,1,-0.52
1894,2,-0.29
1894,3,-0.23
1894,4,-0.45
1894,5,-.31
1894,6,-.41
1894,7,-.24
1894,8,-.24
1894,9,-.28
1894,10,-.23
1894,11,-.26
1894,12,-.21
1895,1,-0.41
1895,2,-0.43
1895,3,-0.32
1895,4,-0.22
1895,5,-.28
1895,6,-.21
1895,7,-.17
1895,8,-.17
1895,9,-.12
1895,10,-.11
1895,11,-.17
1895,12,-.14
1896,1,-0.22
1896,2,-0.12
1896,3,-0.26
1896,4,-0.3
1896,5,-.15
1896,6,-.11
1896,7,-.02
1896,8,-.05
1896,9,-.07
1896,10,.06
1896,11,-.04
1896,12,-.04
1897,1,-0.15
1897,2,-0.16
1897,3,-0.13
1897,4,-0.02
1897,5,-.01
1897,6,-.11
1897,7,-.02
1897,8,-.09
1897,9,-.08
1897,10,-.13
1897,11,-.18
1897,12,-.21
1898,1,-0.02
1898,2,-0.3
1898,3,-0.51
1898,4,-0.31
1898,5,-.31
1898,6,-.19
1898,7,-.23
1898,8,-.27
1898,9,-.21
1898,10,-.34
1898,11,-.38
1898,12,-.23
1899,1,-0.16
1899,2,-0.38
1899,3,-0.36
1899,4,-0.2
1899,5,-.23
1899,6,-.31
1899,7,-.16
1899,8,-.09
1899,9,-.05
1899,10,-.04
1899,11,.12
1899,12,-.26
1900,1,-0.36
1900,2,-0.06
1900,3,0.0
1900,4,-0.09
1900,5,-.09
1900,6,-.10
1900,7,-.13
1900,8,-.09
1900,9,-.05
1900,10,.09
1900,11,-.07
1900,12,-.07
1901,1,-0.22
1901,2,-0.11
1901,3,0.06
1901,4,-0.03
1901,5,-.15
1901,6,-.12
1901,7,-.15
1901,8,-.21
1901,9,-.22
1901,10,-.29
1901,11,-.16
1901,12,-.27
1902,1,-0.16
1902,2,-0.09
1902,3,-0.27
1902,4,-0.28
1902,5,-.33
1902,6,-.32
1902,7,-.28
1902,8,-.30
1902,9,-.29
1902,10,-.30
1902,11,-.36
1902,12,-.42
1903,1,-0.24
1903,2,-0.06
1903,3,-0.23
1903,4,-0.41
1903,5,-.40
1903,6,-.43
1903,7,-.35
1903,8,-.45
1903,9,-.49
1903,10,-.46
1903,11,-.41
1903,12,-.50
1904,1,-0.62
1904,2,-0.58
1904,3,-0.51
1904,4,-0.5
1904,5,-.52
1904,6,-.48
1904,7,-.51
1904,8,-.49
1904,9,-.55
1904,10,-.39
1904,11,-.17
1904,12,-.33
1905,1,-0.35
1905,2,-0.59
1905,3,-0.21
1905,4,-0.34
1905,5,-.29
1905,6,-.28
1905,7,-.27
1905,8,-.21
1905,9,-.19
1905,10,-.25
1905,11,-.07
1905,12,-.13
1906,1,-0.28
1906,2,-0.29
1906,3,-0.18
1906,4,-0.04
1906,5,-.26
1906,6,-.20
1906,7,-.23
1906,8,-.20
1906,9,-.28
1906,10,-.20
1906,11,-.38
1906,12,-.14
1907,1,-0.42
1907,2,-0.51
1907,3,-0.27
1907,4,-0.37
1907,5,-.47
1907,6,-.42
1907,7,-.35
1907,8,-.34
1907,9,-.34
1907,10,-.22
1907,11,-.47
1907,12,-.47
1908,1,-0.44
1908,2,-0.32
1908,3,-0.55
1908,4,-0.44
1908,5,-.37
1908,6,-.38
1908,7,-.35
1908,8,-.46
1908,9,-.35
1908,10,-.44
1908,11,-.52
1908,12,-.49
1909,1,-0.72
1909,2,-0.45
1909,3,-0.54
1909,4,-0.59
1909,5,-.54
1909,6,-.52
1909,7,-.45
1909,8,-.34
1909,9,-.38
1909,10,-.40
1909,11,-.32
1909,12,-.56
1910,1,-0.42
1910,2,-0.4
1910,3,-0.5
1910,4,-0.43
1910,5,-.34
1910,6,-.39
1910,7,-.34
1910,8,-.37
1910,9,-.39
1910,10,-.41
1910,11,-.57
1910,12,-.67
1911,1,-0.62
1911,2,-0.58
1911,3,-0.61
1911,4,-0.54
1911,5,-.52
1911,6,-.51
1911,7,-.42
1911,8,-.44
1911,9,-.41
1911,10,-.27
1911,11,-.22
1911,12,-.22
1912,1,-0.27
1912,2,-0.16
1912,3,-0.39
1912,4,-0.18
1912,5,-.22
1912,6,-.24
1912,7,-.43
1912,8,-.55
1912,9,-.57
1912,10,-.58
1912,11,-.40
1912,12,-.43
1913,1,-0.41
1913,2,-0.45
1913,3,-0.43
1913,4,-0.4
1913,5,-.44
1913,6,-.46
1913,7,-.37
1913,8,-.33
1913,9,-.35
1913,10,-.32
1913,11,-.20
1913,12,-.02
1914,1,0.04
1914,2,-0.09
1914,3,-0.24
1914,4,-0.29
1914,5,-.21
1914,6,-.25
1914,7,-.23
1914,8,-.16
1914,9,-.16
1914,10,-.03
1914,11,-.14
1914,12,-.03
1915,1,-0.2
1915,2,-0.03
1915,3,-0.09
1915,4,0.07
1915,5,-.06
1915,6,-.22
1915,7,-.13
1915,8,-.22
1915,9,-.20
1915,10,-.24
1915,11,-.13
1915,12,-.21
1916,1,-0.12
1916,2,-0.14
1916,3,-0.28
1916,4,-0.3
1916,5,-.35
1916,6,-.49
1916,7,-.37
1916,8,-.28
1916,9,-.36
1916,10,-.33
1916,11,-.46
1916,12,-.81
1917,1,-0.56
1917,2,-0.62
1917,3,-0.63
1917,4,-0.54
1917,5,-.55
1917,6,-.43
1917,7,-.25
1917,8,-.23
1917,9,-.22
1917,10,-.44
1917,11,-.33
1917,12,-.68
1918,1,-0.48
1918,2,-0.34
1918,3,-0.25
1918,4,-0.43
1918,5,-.43
1918,6,-.36
1918,7,-.31
1918,8,-.31
1918,9,-.17
1918,10,-.06
1918,11,-.11
1918,12,-.29
1919,1,-0.2
1919,2,-0.23
1919,3,-0.21
1919,4,-0.12
1919,5,-.28
1919,6,-.36
1919,7,-.29
1919,8,-.33
1919,9,-.25
1919,10,-.20
1919,11,-.42
1919,12,-.42
1920,1,-0.24
1920,2,-0.27
1920,3,-0.12
1920,4,-0.24
1920,5,-.27
1920,6,-.36
1920,7,-.30
1920,8,-.26
1920,9,-.21
1920,10,-.26
1920,11,-.27
1920,12,-.46
1921,1,-0.05
1921,2,-0.17
1921,3,-0.22
1921,4,-0.3
1921,5,-.30
1921,6,-.27
1921,7,-.15
1921,8,-.26
1921,9,-.19
1921,10,-.03
1921,11,-.14
1921,12,-.17
1922,1,-0.33
1922,2,-0.44
1922,3,-0.14
1922,4,-0.23
1922,5,-.33
1922,6,-.30
1922,7,-.27
1922,8,-.33
1922,9,-.35
1922,10,-.32
1922,11,-.14
1922,12,-.19
1923,1,-0.27
1923,2,-0.39
1923,3,-0.34
1923,4,-0.4
1923,5,-.33
1923,6,-.29
1923,7,-.31
1923,8,-.34
1923,9,-.31
1923,10,-.13
1923,11,-.02
1923,12,-.03
1924,1,-0.22
1924,2,-0.23
1924,3,-0.08
1924,4,-0.3
1924,5,-.18
1924,6,-.26
1924,7,-.29
1924,8,-.36
1924,9,-.32
1924,10,-.35
1924,11,-.20
1924,12,-.43
1925,1,-0.37
1925,2,-0.39
1925,3,-0.27
1925,4,-0.26
1925,5,-.29
1925,6,-.33
1925,7,-.27
1925,8,-.21
1925,9,-.20
1925,10,-.17
1925,11,.06
1925,12,.06
1926,1,0.21
1926,2,0.03
1926,3,0.12
1926,4,-0.13
1926,5,-.23
1926,6,-.26
1926,7,-.27
1926,8,-.13
1926,9,-.14
1926,10,-.11
1926,11,-.06
1926,12,-.29
1927,1,-0.27
1927,2,-0.17
1927,3,-0.39
1927,4,-0.3
1927,5,-.26
1927,6,-.28
1927,7,-.19
1927,8,-.24
1927,9,-.12
1927,10,-.01
1927,11,-.06
1927,12,-.33
1928,1,-0.02
1928,2,-0.09
1928,3,-0.25
1928,4,-0.28
1928,5,-.30
1928,6,-.39
1928,7,-.20
1928,8,-.23
1928,9,-.21
1928,10,-.19
1928,11,-.09
1928,12,-.16
1929,1,-0.45
1929,2,-0.58
1929,3,-0.32
1929,4,-0.41
1929,5,-.38
1929,6,-.43
1929,7,-.37
1929,8,-.33
1929,9,-.25
1929,10,-.15
1929,11,-.12
1929,12,-.54
1930,1,-0.3
1930,2,-0.26
1930,3,-0.1
1930,4,-0.25
1930,5,-.24
1930,6,-.22
1930,7,-.21
1930,8,-.15
1930,9,-.16
1930,10,-.12
1930,11,.17
1930,12,-.05
1931,1,-0.1
1931,2,-0.2
1931,3,-0.1
1931,4,-0.23
